algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,map_name,size,ratio,run_id,attempt_id,seed_tag
jps_like,0,,,0.0207999837584793,5,random_generated,20,0.7,16,16,seed42
improved_astar,0,,,0.0199000060092657,5,random_generated,20,0.7,16,16,seed42
dijkstra,1,2.414213562373095,1.0,0.0209000136237591,7,random_generated,20,0.7,17,17,seed42
astar,1,2.414213562373095,1.0,0.0102999911177903,3,random_generated,20,0.7,17,17,seed42
weighted_astar,1,2.414213562373095,1.0,0.0091000110842287,3,random_generated,20,0.7,17,17,seed42
jps_like,1,3.0,1.0,0.0127999810501933,4,random_generated,20,0.7,17,17,seed42
improved_astar,1,2.414213562373095,1.0,0.0131999840959906,4,random_generated,20,0.7,17,17,seed42
dijkstra,1,2.414213562373095,1.0,0.0171000137925148,6,random_generated,20,0.7,18,18,seed42
astar,1,2.414213562373095,1.0,0.009200011845678,3,random_generated,20,0.7,18,18,seed42
weighted_astar,1,2.414213562373095,1.0,0.0081000034697353,3,random_generated,20,0.7,18,18,seed42
jps_like,1,2.414213562373095,1.0,0.0122000055853277,3,random_generated,20,0.7,18,18,seed42
improved_astar,1,2.23606797749979,0.0,0.0111999979708343,3,random_generated,20,0.7,18,18,seed42
dijkstra,1,6.82842712474619,3.0,0.0660000077914446,25,random_generated,20,0.7,19,19,seed42
astar,1,6.82842712474619,3.0,0.0283000117633491,9,random_generated,20,0.7,19,19,seed42
weighted_astar,1,6.82842712474619,3.0,0.0271000026259571,9,random_generated,20,0.7,19,19,seed42
jps_like,0,,,0.0213000166695565,6,random_generated,20,0.7,19,19,seed42
improved_astar,0,,,0.0203000090550631,6,random_generated,20,0.7,19,19,seed42
dijkstra,1,2.0,0.0,0.0074999989010393,3,random_generated,20,0.7,20,20,seed42
astar,1,2.0,0.0,0.0068000226747244,3,random_generated,20,0.7,20,20,seed42
weighted_astar,1,2.0,0.0,0.005500012775883,3,random_generated,20,0.7,20,20,seed42
jps_like,1,2.0,0.0,0.010499992640689,3,random_generated,20,0.7,20,20,seed42
improved_astar,1,2.0,0.0,0.0095999857876449,3,random_generated,20,0.7,20,20,seed42
dijkstra,1,2.414213562373095,1.0,0.011700001778081,4,random_generated,20,0.7,21,21,seed42
astar,1,2.414213562373095,1.0,0.0078000011853873,3,random_generated,20,0.7,21,21,seed42
weighted_astar,1,2.414213562373095,1.0,0.0065000203903764,3,random_generated,20,0.7,21,21,seed42
jps_like,0,,,0.0093999842647463,1,random_generated,20,0.7,21,21,seed42
improved_astar,0,,,0.0109000247903168,1,random_generated,20,0.7,21,21,seed42
dijkstra,1,5.242640687119285,2.0,0.1413999998476356,16,random_generated,20,0.7,22,22,seed42
astar,1,5.242640687119285,2.0,0.0563000212423503,6,random_generated,20,0.7,22,22,seed42
weighted_astar,1,5.242640687119285,2.0,0.0216999906115233,6,random_generated,20,0.7,22,22,seed42
jps_like,0,,,0.0182000221684575,4,random_generated,20,0.7,22,22,seed42
improved_astar,0,,,0.0166000099852681,4,random_generated,20,0.7,22,22,seed42
dijkstra,1,17.142135623730955,7.0,0.0989999971352517,40,random_generated,20,0.7,23,23,seed42
astar,1,17.142135623730955,7.0,0.0588999828323721,20,random_generated,20,0.7,23,23,seed42
weighted_astar,1,17.142135623730955,7.0,0.0548999814782291,19,random_generated,20,0.7,23,23,seed42
jps_like,0,,,0.007099995855242,2,random_generated,20,0.7,23,23,seed42
improved_astar,0,,,0.0073000264819711,2,random_generated,20,0.7,23,23,seed42
dijkstra,1,2.0,0.0,0.0222999951802194,7,random_generated,20,0.7,24,24,seed42
astar,1,2.0,0.0,0.0111999979708343,3,random_generated,20,0.7,24,24,seed42
weighted_astar,1,2.0,0.0,0.0090999819803982,3,random_generated,20,0.7,24,24,seed42
jps_like,1,2.0,0.0,0.011700001778081,3,random_generated,20,0.7,24,24,seed42
improved_astar,1,2.0,0.0,0.011099997209385,3,random_generated,20,0.7,24,24,seed42
dijkstra,1,1.0,0.0,0.0103000202216207,3,random_generated,20,0.7,25,25,seed42
astar,1,1.0,0.0,0.0062000181060284,2,random_generated,20,0.7,25,25,seed42
weighted_astar,1,1.0,0.0,0.0051000097300857,2,random_generated,20,0.7,25,25,seed42
jps_like,1,1.0,0.0,0.0071999966166913,2,random_generated,20,0.7,25,25,seed42
improved_astar,1,1.0,0.0,0.007700000423938,2,random_generated,20,0.7,25,25,seed42
dijkstra,1,5.82842712474619,1.0,0.0521000183653086,19,random_generated,20,0.7,26,26,seed42
astar,1,5.82842712474619,1.0,0.0250000157393515,7,random_generated,20,0.7,26,26,seed42
weighted_astar,1,5.82842712474619,1.0,0.0245000119321048,7,random_generated,20,0.7,26,26,seed42
jps_like,1,7.0,4.0,0.0447000202257186,9,random_generated,20,0.7,26,26,seed42
improved_astar,1,6.23606797749979,1.0,0.0431999797001481,9,random_generated,20,0.7,26,26,seed42
dijkstra,1,2.0,0.0,0.0196000037249177,6,random_generated,20,0.7,27,27,seed42
astar,1,2.0,0.0,0.0104000209830701,3,random_generated,20,0.7,27,27,seed42
