algorithm,success,path_length,turn_count,runtime_ms,expanded_nodes,size,ratio,run_id,attempt_id,seed_tag
jps_like,1,8.071067811865476,5,0.0300999963656067,8,20,0.7,28,28,42
improved_astar,1,6.23606797749979,1,0.0283999979728832,8,20,0.7,28,28,42
dijkstra,1,12.899494936611667,8,0.0537000014446675,15,20,0.7,29,29,42
astar,1,12.899494936611667,8,0.040300001273863,11,20,0.7,29,29,42
weighted_astar,1,12.899494936611667,8,0.0323999993270263,11,20,0.7,29,29,42
jps_like,1,12.899494936611667,8,0.0453999964520335,11,20,0.7,29,29,42
improved_astar,1,9.650281539872886,3,0.0511999969603493,13,20,0.7,29,29,42
dijkstra,1,10.242640687119284,2,0.8161000005202368,187,40,0.3,0,0,42
astar,1,10.242640687119284,3,0.0647999986540526,13,40,0.3,0,0,42
weighted_astar,1,10.242640687119286,3,0.0522000045748427,12,40,0.3,0,0,42
jps_like,1,10.242640687119284,4,0.1304000033996999,13,40,0.3,0,0,42
improved_astar,1,9.34166020071207,1,0.1022999931592494,11,40,0.3,0,0,42
dijkstra,1,9.82842712474619,3,0.803299990366213,171,40,0.3,1,1,42
astar,1,9.82842712474619,3,0.0522999907843768,10,40,0.3,1,1,42
weighted_astar,1,9.82842712474619,3,0.0625999964540824,14,40,0.3,1,1,42
jps_like,1,9.82842712474619,4,0.0689000007696449,6,40,0.3,1,1,42
improved_astar,1,9.47213595499958,3,0.2577999985078349,6,40,0.3,1,1,42
dijkstra,1,6.242640687119286,3,0.2213999978266656,66,40,0.3,2,2,42
astar,1,6.242640687119286,3,0.030100010917522,6,40,0.3,2,2,42
weighted_astar,1,6.242640687119286,1,0.0269000011030584,6,40,0.3,2,2,42
jps_like,1,6.242640687119285,1,0.0349000038113445,4,40,0.3,2,2,42
improved_astar,1,5.841619252963779,1,0.0244999973801895,3,40,0.3,2,2,42
dijkstra,1,22.142135623730955,9,2.5507999962428585,774,40,0.3,3,3,42
astar,1,22.142135623730955,9,0.2475999935995787,52,40,0.3,3,3,42
weighted_astar,1,22.142135623730955,5,0.1093999890144914,21,40,0.3,3,3,42
jps_like,1,22.14213562373095,10,0.5061000119894743,52,40,0.3,3,3,42
improved_astar,1,19.871997787639643,3,0.1237000105902552,11,40,0.3,3,3,42
dijkstra,1,21.07106781186548,7,1.945200012414716,553,40,0.3,4,4,42
astar,1,21.07106781186548,6,0.1705000031506642,36,40,0.3,4,4,42
weighted_astar,1,21.89949493661167,6,0.1351999962935224,30,40,0.3,4,4,42
jps_like,1,21.07106781186548,8,0.2857000072253868,23,40,0.3,4,4,42
improved_astar,1,19.84600658362259,4,0.2424999984214082,23,40,0.3,4,4,42
dijkstra,1,16.65685424949238,6,0.726999991456978,227,40,0.3,5,5,42
astar,1,16.65685424949238,6,0.1919999922392889,46,40,0.3,5,5,42
weighted_astar,1,17.48528137423857,7,0.0930000096559524,19,40,0.3,5,5,42
jps_like,1,16.65685424949238,7,0.415000002249144,46,40,0.3,5,5,42
improved_astar,1,15.783530439226077,2,0.1561999961268156,14,40,0.3,5,5,42
dijkstra,1,23.72792206135786,9,2.8846999921370298,724,40,0.3,6,6,42
astar,1,23.72792206135786,11,0.2451000036671757,56,40,0.3,6,6,42
